ban_rate,event,hero,no_bans,no_picks,no_picks_bans,pick_ban_rate,pick_rate,win_rate,attribute
0.00%,The Frankfurt Major 2015,Sand King,0,1,1,1.01%,1.01%,0.00%,Strength
0.00%,The Frankfurt Major 2015,Storm Spirit,0,1,1,1.01%,1.01%,100.00%,Intelligence
0.00%,The Frankfurt Major 2015,Tinker,0,1,1,1.01%,1.01%,0.00%,Intelligence
0.00%,The Frankfurt Major 2015,Pugna,0,1,1,1.01%,1.01%,100.00%,Intelligence
0.00%,The Frankfurt Major 2015,Lifestealer,0,1,1,1.01%,1.01%,0.00%,Strength
0.00%,The Frankfurt Major 2015,Ursa,0,1,1,1.01%,1.01%,0.00%,Agility
1.01%,The Frankfurt Major 2015,Lone Druid,1,0,1,1.01%,0.00%,0.00%,Agility
0.00%,The Frankfurt Major 2015,Chaos Knight,0,1,1,1.01%,1.01%,0.00%,Strength
0.00%,The Frankfurt Major 2015,Ogre Magi,0,1,1,1.01%,1.01%,0.00%,Intelligence
0.00%,The Frankfurt Major 2015,Naga Siren,0,1,1,1.01%,1.01%,0.00%,Agility
0.00%,The Frankfurt Major 2015,Medusa,0,1,1,1.01%,1.01%,100.00%,Agility
,The Frankfurt Major 2015,Monkey King,,,,,,,Agility
,The Frankfurt Major 2015,Underlord,,,,,,,Strength
,The Frankfurt Major 2015,Arc Warden,,,,,,,Agility
,The Frankfurt Major 2015,Earth Spirit,,,,,,,Strength
,The Frankfurt Major 2015,Terrorblade,,,,,,,Agility
,The Frankfurt Major 2015,Oracle,,,,,,,Intelligence
0,The Frankfurt Major 2015,Centaur Warrunner,0,0,0,0,0,0,Strength
0,The Frankfurt Major 2015,Elder Titan,0,0,0,0,0,0,Strength
0,The Frankfurt Major 2015,Kunkka,0,0,0,0,0,0,Strength
0,The Frankfurt Major 2015,Legion Commander,0,0,0,0,0,0,Strength
0,The Frankfurt Major 2015,Omniknight,0,0,0,0,0,0,Strength
0,The Frankfurt Major 2015,Pudge,0,0,0,0,0,0,Strength
0,The Frankfurt Major 2015,Bloodseeker,0,0,0,0,0,0,Agility
0,The Frankfurt Major 2015,Faceless Void,0,0,0,0,0,0,Agility
0,The Frankfurt Major 2015,Mirana,0,0,0,0,0,0,Agility
0,The Frankfurt Major 2015,Phantom Assassin,0,0,0,0,0,0,Agility
0,The Frankfurt Major 2015,Riki,0,0,0,0,0,0,Agility
0,The Frankfurt Major 2015,Sniper,0,0,0,0,0,0,Agility
0,The Frankfurt Major 2015,Troll Warlord,0,0,0,0,0,0,Agility
0,The Frankfurt Major 2015,Enchantress,0,0,0,0,0,0,Intelligence
0,The Frankfurt Major 2015,Enigma,0,0,0,0,0,0,Intelligence
0,The Frankfurt Major 2015,Keeper of the Light,0,0,0,0,0,0,Intelligence
0,The Frankfurt Major 2015,Necrophos,0,0,0,0,0,0,Intelligence
0,The Frankfurt Major 2015,Outworld Devourer,0,0,0,0,0,0,Intelligence
0,The Frankfurt Major 2015,Puck,0,0,0,0,0,0,Intelligence
0,The Frankfurt Major 2015,Techies,0,0,0,0,0,0,Intelligence
0,The Frankfurt Major 2015,Warlock,0,0,0,0,0,0,Intelligence
0,The Frankfurt Major 2015,Zeus,0,0,0,0,0,0,Intelligence
69.75%,The International 2013,Batrider,113,48,161,99.38%,29.63%,45.83%,Intelligence
74.07%,The International 2013,Outworld Devourer,120,32,152,93.83%,19.75%,37.50%,Intelligence
51.85%,The International 2013,Lifestealer,84,67,151,93.21%,41.36%,56.72%,Strength
38.27%,The International 2013,Visage,62,88,150,92.59%,54.32%,55.68%,Intelligence
46.30%,The International 2013,Chen,75,65,140,86.42%,40.12%,63.08%,Intelligence
66.05%,The International 2013,Io,107,27,134,82.72%,16.67%,62.96%,Strength
45.06%,The International 2013,Dark Seer,73,59,132,81.48%,36.42%,52.54%,Intelligence
44.44%,The International 2013,Alchemist,72,60,132,81.48%,37.04%,46.67%,Strength
29.01%,The International 2013,Weaver,47,75,122,75.31%,46.30%,57.33%,Agility
25.31%,The International 2013,Natures Prophet,41,69,110,67.90%,42.59%,47.83%,Intelligence
30.86%,The International 2013,Dragon Knight,50,57,107,66.05%,35.19%,43.86%,Strength
35.80%,The International 2013,Naga Siren,58,43,101,62.35%,26.54%,55.81%,Agility
28.40%,The International 2013,Gyrocopter,46,48,94,58.02%,29.63%,56.25%,Agility
14.20%,The International 2013,Rubick,23,69,92,56.79%,42.59%,40.58%,Intelligence
19.75%,The International 2013,Nyx Assassin,32,46,78,48.15%,28.40%,52.17%,Agility
19.75%,The International 2013,Puck,32,43,75,46.30%,26.54%,58.14%,Intelligence
29.63%,The International 2013,Razor,48,27,75,46.30%,16.67%,48.15%,Agility
21.60%,The International 2013,Shadow Demon,35,31,66,40.74%,19.14%,45.16%,Intelligence
25.31%,The International 2013,Enchantress,41,23,64,39.51%,14.20%,30.43%,Intelligence
24.07%,The International 2013,Lone Druid,39,22,61,37.65%,13.58%,45.45%,Agility
8.02%,The International 2013,Bane,13,46,59,36.42%,28.40%,54.35%,Intelligence
20.99%,The International 2013,Anti-Mage,34,16,50,30.86%,9.88%,68.75%,Agility
17.90%,The International 2013,Keeper of the Light,29,21,50,30.86%,12.96%,66.67%,Intelligence
8.64%,The International 2013,Beastmaster,14,32,46,28.40%,19.75%,46.88%,Strength
20.37%,The International 2013,Treant Protector,33,13,46,28.40%,8.02%,46.15%,Strength
14.81%,The International 2013,Bounty Hunter,24,20,44,27.16%,12.35%,55.00%,Agility
11.11%,The International 2013,Timbersaw,18,24,42,25.93%,14.81%,45.83%,Strength
13.58%,The International 2013,Queen of Pain,22,17,39,24.07%,10.49%,41.18%,Intelligence
11.11%,The International 2013,Enigma,18,20,38,23.46%,12.35%,45.00%,Intelligence
11.73%,The International 2013,Storm Spirit,19,18,37,22.84%,11.11%,50.00%,Intelligence
8.02%,The International 2013,Clockwerk,13,23,36,22.22%,14.20%,47.83%,Strength
8.02%,The International 2013,Shadow Fiend,13,22,35,21.60%,13.58%,54.55%,Agility
4.94%,The International 2013,Vengeful Spirit,8,26,34,20.99%,16.05%,42.31%,Agility
9.26%,The International 2013,Jakiro,15,19,34,20.99%,11.73%,42.11%,Intelligence
6.79%,The International 2013,Magnus,11,19,30,18.52%,11.73%,52.63%,Strength
1.23%,The International 2013,Crystal Maiden,2,26,28,17.28%,16.05%,61.54%,Intelligence
9.88%,The International 2013,Tinker,16,12,28,17.28%,7.41%,25.00%,Intelligence
6.79%,The International 2013,Spectre,11,13,24,14.81%,8.02%,46.15%,Agility
3.09%,The International 2013,Windranger,5,17,22,13.58%,10.49%,47.06%,Intelligence
6.17%,The International 2013,Leshrac,10,12,22,13.58%,7.41%,33.33%,Intelligence
6.79%,The International 2013,Juggernaut,11,9,20,12.35%,5.56%,33.33%,Agility
3.09%,The International 2013,Sand King,5,15,20,12.35%,9.26%,20.00%,Strength
4.94%,The International 2013,Ursa,8,11,19,11.73%,6.79%,72.73%,Agility
4.32%,The International 2013,Doom,7,11,18,11.11%,6.79%,27.27%,Strength
2.47%,The International 2013,Chaos Knight,4,13,17,10.49%,8.02%,61.54%,Strength
